index,accountant,air traffic controller,architect,artist,attorney,baker,banker,bartender,barber,barman,barmaid,bookkeeper,broadcaster,builder,businessperson,businessman,businesswoman,butcher,captain,carpenter,cashier,chef,coach,cook,computer programmer,dancer,dental hygienist,dentist,designer,developer,dietician,doctor,economist,editor,electrician,engineer,farmer,filmmaker,financier,fireman,fisherman,flight attendant,gardener,guidance counselor,hairdresser,homemaker,housekeeper,interior designer,jeweler,journalist,judge,lawyer,librarian,maestro,magician,mason,mechanic,musician,nanny,nurse,nutritionist,optician,painter,pharmacist,philosopher,photographer,physician's assistant,pilot,plumber,police officer,policeman,politician,postman,professor,programmer,psychologist,receptionist,salesperson,scientist,scholar,secretary,server,singer,skipper,soldier,socialite,stylist,surgeon,teacher,therapist,translator,undertaker,veterinarian,videographer,waiter,waitress,warrior,writer
football,0.42053010343295616,0.48950409155978236,-0.054941689641373186,-1.9427395196475936,0.34729181800112535,0.008259037430556648,0.4702764318524266,-0.28357092176610954,0.07591537059915686,-0.41003022171957626,-0.7734144862855704,-0.3797302579802762,0.2800722829919774,0.3850167002256902,-0.12344038535584732,0.7108661822147404,-0.01139298796782117,0.3769850750799196,0.761961778783225,-0.23950000891845938,0.04226651285589317,-0.16214662055270473,1.5694655053353264,-0.33515978674419444,-0.22248793344300025,-1.4407040294352766,-0.07030146708712129,0.3864168726492747,-0.7672833562533311,-0.5197739559329982,0.20332585597999434,0.6812413816155055,0.2721267532380867,-0.6385533220709017,-0.3798209992861983,0.049107989364709316,0.6234574669484857,-1.4850427606681078,0.23791041806966645,0.7240055078126919,0.13935433243316891,-0.0031801354877761152,-0.561436695764849,0.7362614660326521,0.14345751745794946,-0.5688157548736753,-0.6092349923396713,-0.6357898612553752,-1.3217062305220622,0.4108117703036024,0.27146589512590524,0.5632837468149751,-0.8287871901825323,-3.2519413312144616,-1.7276371078079682,-0.11192344605426106,-0.1355840890920451,-2.2937496586070787,-0.5683894721059822,0.05848217604350516,-0.08818016809617353,-0.13015004987352988,-1.8952153120686688,0.10902612502023662,-0.8767242664949577,-0.7244892648228329,-0.11993092908961608,0.29896218431232263,0.29124462178913313,0.8161093047746628,0.8375807722871245,0.9393528247623426,0.3408248471089416,0.06857917877697718,-0.3595185213765867,0.060355387906793456,-0.7498414609158477,-0.25865204527792907,0.026288057798156378,-0.3882529752887715,-0.2779574216005191,-2.162859960346229,-2.3055291691186497,0.6074527880486712,0.43786378746327886,-0.25648308411659787,-1.416852175785374,0.4490482462073087,-0.4474427464860642,-0.20774164786000965,-1.3965818846994773,-0.12284428504854682,0.19267015303404317,-1.4759137507742082,-0.5418618824822048,-0.21043900708209592,-0.7415925935398489,-0.7317176453208133
basketball,0.3871377484057774,0.33984501007758167,0.20225175333163833,-2.128389915530991,0.7070211511805725,-0.4693843092912268,0.08289557370297476,-0.038365781920022546,0.0011995950460680946,-0.8813698655885183,-0.8017501637428647,-0.21991330390009542,-0.4778910661966836,0.5350258774769421,0.09851720898278699,0.5848335816342815,0.19450003257030862,-0.517627183263344,-0.007497186956827038,-0.5328129374629352,0.4849254722235284,-0.22756102937182754,1.689376466456532,-0.8993590065744965,-0.03843663367851721,-1.642302198809558,0.2186894681055626,0.595654815521295,-0.2508483967979663,-0.17407427084759364,0.43750653615642926,0.7123523876945689,0.42098678457142386,-0.540379951837775,-0.5816562130719574,-0.03285401093254817,-0.1255162921078788,-1.623182981716796,-0.018568537059317415,0.5128581296908358,-0.34428074735146375,0.3398288306688281,-0.5173241792312894,1.148737589212922,-0.39636859985309214,-0.2570178732485459,-0.6496361064596823,0.12982199520296472,-1.1585488802319748,0.05741095783691018,0.38940415976614795,0.5725198566712459,-0.16991473200955462,-4.081511912279982,-2.445497267099718,-0.328709610676176,-0.38981598497236974,-3.0452999255924467,-0.2951143822955231,0.17823446622294745,0.8401555586398944,0.07744738809319439,-2.028636400239243,0.29102071012124436,-1.3076981646450563,-0.7040172953365732,0.37971495605156874,0.002170780931229071,0.34194355270637283,0.6840828244327247,0.1294739527392821,0.4147056570386623,-0.1409052538708189,0.15153631366996667,0.026280712164575573,-0.12829523377310248,-0.23093222998374188,0.22951036216334814,-0.25024871425137124,-1.0098817789246202,-0.490300791431661,-3.0788965820633294,-2.98326554616022,-0.7849251548824867,-0.403138569997864,-0.6228254122782875,-1.0571532176134686,0.3374342613681226,-0.3968073349152156,0.2848486303145524,-1.2468416583180342,-0.7804138758372745,0.23074430523491546,-1.240156425482196,-0.4171383207718741,0.26280048447894533,-1.321515791442173,-0.5436654759429528
cricket,0.027313220312653503,0.35293476233190224,-0.0209524291394985,-1.7815603106305762,-0.6622931601697338,0.3594809176167819,0.11789401580456382,-1.289489478283026,-0.335204989444054,-0.4994781294556027,-0.920606849934441,-0.4009165428057549,0.6830949560791952,0.4949590777309429,-0.10518829348741279,0.3206334452083781,0.14003078017795628,0.27400541315556753,0.4125681353942049,-0.06590377162170877,-0.7909596995235575,-0.038322005597817614,0.4519356624455068,-0.001357959212202063,-0.13251394808974223,-1.538037426034277,-0.4689305817961833,-0.034174671104371765,-0.9529810612347823,-0.5593028623184984,-0.08624453225428352,0.4040924157400326,0.2957478915859245,-0.9366470575326301,-0.13571820255152559,0.15533489318431812,1.113842084126457,-1.7254579367287346,-0.2668920622054008,-0.02948983046690698,1.2391196900176937,-0.5215861450775628,0.9442240357986591,-1.363767014755026,0.37579102333793984,0.08522908948386441,0.1690856924187973,-1.0642803922257336,-0.5868658262890485,-0.08047908430398512,0.1436461017901548,0.039774121100416344,-0.7229376908442758,-2.126556214092771,-2.002492405499923,0.2572628625496857,-0.6926365424520049,-1.781558157960933,-0.20726523083825119,-0.051467181290293394,-0.43650460606706093,-0.08444073907527871,-1.2603897947015528,-0.33962334112145653,-0.7909038021293682,-0.6872104541122768,-0.5691307084003357,0.19134111755616645,0.4215025998937818,-0.12164599208841612,0.7387989639876326,0.6482933935380139,0.7178550404415723,-0.02375465241128362,-0.28150228559375773,-0.5394862324100189,-1.2045176041904573,-1.0334022334034918,0.12734149088698704,0.11019610156306524,-0.3475545709283386,-2.7508767359500723,-2.340398837660569,1.6690658622665722,0.3925184781215917,-0.5015260132563167,-2.350180029319404,0.33765038168682415,-0.02892256843635633,-1.0365541499429707,-1.4932555126301887,0.2830471530193757,-0.22996696089397092,-1.1216595218928824,-0.5670206861813148,-1.2369339331537412,-0.7442821144319491,-0.6886486757945803
hockey,0.48687227034711406,0.3039397176882574,-0.4564420397596155,-2.0879478513890724,0.17747484857306364,0.160478270833589,-0.25512992056760797,0.12490327164765608,-0.10887697832059845,-0.5983466633807976,-0.9763318600623687,-0.25975215243715244,-0.331417771570144,-0.013509517269427479,-0.47120310113380626,-0.15500953014617602,-0.2772567865413025,0.28220447286652967,0.4032921481790561,-0.3735469140998262,-0.10103351201194226,0.16499843750149598,1.0459487243168253,-0.2248086910845439,-0.40140404093552473,-1.8609949588121468,0.32549804085762535,0.8911165510417931,-1.2273244269000219,-0.8612731344839486,0.7591224896468292,0.8646002070615306,0.14734174577764778,-0.8978533424648132,-0.21758395835229324,-0.047585767682656877,0.458499503874614,-1.1649504991704498,-0.9115848662607997,1.2698143924236167,0.7262175261971258,0.21697349723533466,-0.3266273596081618,0.6200901324929453,-0.3248609216913224,-0.28831280944808046,-0.6647017681491049,-0.5377023619189025,-1.3040281342872646,-0.18096722696782547,-0.05076683109092258,0.23206053932159085,0.020452704079613068,-3.739297581091923,-1.243341802824374,0.07978382167262797,-0.2356486466989676,-3.0507970888088667,-0.1081081901343842,0.5084925653637329,0.957294636078629,0.0027677291848844147,-1.9224535832397176,0.6536793147993205,-1.3107894200889396,-0.4605134180740848,0.0884712264830937,0.124138779162093,0.32257260004130245,0.5205236132232806,0.06623577343858522,-0.4967912660197969,0.14893547717128852,0.021920894055643382,-0.2601981747264283,0.3343834310370911,-0.8737903796932809,-0.22038201178807149,0.18112780699866796,-0.7794291030609518,-0.8742708689010269,-2.369918518749747,-3.0629715754090414,0.4334627568413239,0.04997410981162233,-0.9912981964484531,-2.147199559623176,0.5698600945012001,-0.2512328327919964,0.5018285752808332,-1.168126119090792,-0.09799817372155985,0.7286543940803437,-1.0013054701807098,-0.83228737461702,-0.09025693327580836,-0.6450066496872512,-0.5246364609995909
tennis,0.7065940370923935,0.6378218859042387,0.6753440358048661,-1.8455754834408742,0.7703510988054189,0.29856536772889347,0.9463622550161546,-0.12025726485232431,0.25431877541899706,-0.6709145842047556,-0.21251854100784184,0.3027732936938759,0.13687519482701857,0.5867399694995351,0.3266670524581011,0.6969142336130083,0.8778409569430331,-0.09334355605524691,-0.5733972770958385,-0.35055740777381045,0.31428740464009114,0.726416665056694,0.6766666589200445,0.29615977584411607,0.3244139112895101,-1.3058794345238882,0.7295072815294302,0.946650868871321,-0.08963812125352405,-0.7129740406253756,1.1778033867086974,0.9270774273295935,0.9521124765526171,-0.21224667976486686,-0.026103403511651396,0.049093422926829396,0.2875044989939769,-1.81906673278608,0.5054424798911571,0.12160604563755274,0.4876000967524255,0.5453330651715779,0.9140568055472145,0.334387027950317,0.9219507541302739,0.8301276671797249,0.7896036388902131,0.5084083942169827,-0.0029858782920649247,0.591022209948224,0.9576245029057248,1.0141988230517074,-0.04532196403020377,-3.0915107912494744,-1.8977596727489479,0.14454324164476728,-0.4144291033040766,-3.088587006200695,0.29951688415194644,0.6846143132448053,1.3359287028325215,0.617708397843929,-1.3631341394378684,0.7509182608937394,-0.7771957965909596,-0.04752058936017996,0.8087631243716514,0.3552277428876858,0.3883328016820521,0.2653703398983615,0.16783221283787353,0.21922079471040315,0.2671811671358417,0.3719234205054883,-0.0429830654216163,0.5971800312856315,0.2229308485644171,0.21390152281464236,0.3234061707407556,-0.19995379086927534,0.6227510634654267,-2.4345028023620623,-2.6752018015772308,0.5998209113952988,-0.22027576817588954,1.5765362127859301,-0.1349387130118832,1.0021663635478406,-0.16240805261195973,0.6455480408765432,-0.7865540131883036,-0.25946849212073364,0.772476330353535,-0.9649417299528168,0.09656808004428483,0.4231359100269006,-1.2316354865736485,-0.45769388206584993
volleyball,0.01593007136664451,0.5963222640550798,-0.375400729370443,-1.8900333144165282,0.16537088763656632,-0.2737636328029495,-0.7417008888238246,0.11299480712774411,-0.1180430553345581,-0.44150391311912957,0.3456225952342658,-0.38669552048058037,-0.20528172569944197,0.2496145885295479,-0.31096082479086573,-0.2831586901014921,0.38595596602443727,-0.5763473833091187,0.5959672057384564,-0.9608752636064257,0.22005322121147472,0.24918593772163222,1.7589313197740544,-0.14908996604882585,-0.16399456227942127,-0.8869369790281803,0.7938941973793338,0.46729419440261527,-0.7342859221282202,-0.760055633937051,0.7781871187822116,0.17753998338940746,-0.32646823891091986,-0.46381107758831863,-0.5656371819869558,-0.5898348016185931,-0.07044678648075256,-1.5743185362071077,-1.2199355897590352,0.5648010462440051,0.9027885816987041,0.7072507135825316,-0.028418282340934607,1.0499369471008004,0.1258393347465533,0.34606992874003173,0.2821494843049194,0.05881411299203969,-1.3666381932314426,0.08598077575970589,0.3731790779021871,0.17646769452241876,-0.26279533808363875,-4.070400088870568,-1.8080156065459014,-0.8684109492732173,-0.7492546014174457,-3.151626612716541,0.4122822836881478,0.5865039049182744,1.2915058466491622,0.033090442716854365,-1.7738602139730946,0.3489448950248659,-1.709714295154747,-0.5507670739446338,0.523298473718418,0.12219932128100308,0.11992693891824516,0.5563008574418844,0.05556382532874513,-0.2363954391555214,-0.2687262315996543,-0.1031075082191126,-0.3215529160901667,-0.20644014523773296,0.19892636238546615,-0.2091887980300324,-0.4158677899295902,-1.3362309596995208,-0.18525513491654513,-0.8549198696468205,-2.292437299338071,0.8616926432629245,-0.12692299716180058,-0.7294112920288538,-0.900336363635434,0.1775282599204612,-0.25925071270672917,0.7346931111967416,-0.6664128943849282,-0.8665507558914329,0.5448215057319421,-0.934218765483117,0.05255929436956026,0.9529948943286078,-0.7254399297555035,-0.8540837178542304
baseball,0.34916555383026515,0.6955295007622544,-0.3976268010365918,-2.0324092725427447,0.6043742436072141,-0.25524683145059196,0.17726752763333117,0.10596587003925477,-0.08457856235950953,-0.38397130839327065,-0.7356979641081062,-0.3246258462646418,-0.6553899001220728,0.08584616535294327,-0.15698509909664693,0.45669124745309303,-0.015248490064729543,0.05180028500878228,-0.08744999501077157,-0.23992020410783788,0.23288063453501387,-0.38426925848615434,1.1018982927969423,-0.6566785933795553,-0.09760754739827099,-1.8901716662791712,0.03478226224414966,0.7142443287477519,-1.222745289768973,-0.5624584412922162,-0.018151945371242414,0.6372134753343703,0.7120259757896529,-0.8298959374987276,-0.5010634630260524,-0.2455012997333419,0.46070605892744554,-1.5884984668826008,-0.17338677855237272,1.2920607044454768,0.38403361193117214,0.4042093365815905,-0.18678032249600302,0.910094272759407,-1.0559196887943654,-0.44369420941642523,-0.851648606955156,-0.6640747848596111,-1.3886737988924374,-0.3812501360613897,-0.13010398733765674,0.49234388734230705,-0.3229276246126064,-3.375587070289688,-2.097477359014064,0.021553863337921766,-0.0815574101328675,-2.489895821039726,-0.539968193703323,0.12299847693900297,0.2115790162364761,-0.10456971426708517,-1.5379473555385161,0.43017715658024824,-1.1205603641239106,-1.2042261806273475,0.2688599506610642,0.6363889063871531,0.1837434587963664,0.9583310936811582,0.4980652844918275,-0.028928249434914646,0.40920007963868027,0.00988458975554247,-0.3638701381950687,0.11394599763781402,-0.812053866198489,0.07757038037347198,0.2825904221669763,-0.9620321408608014,-0.6819231462202007,-2.7431048438720365,-2.6683301281614433,-0.2691950333000061,0.34365406431955203,-0.5461502356332419,-2.3656234741282547,0.4387424406948249,-0.3388508461466261,0.015982879224265945,-1.675654610933765,-0.027667687093240096,0.5317499257332717,-1.748468061009855,-0.4760230706490861,0.05049632378218411,-0.993516623311541,-0.5873267638281667
rugby,0.35823791994678134,0.25893959086336626,-0.2069036111156293,-2.4652879202451254,-0.2378676374135492,0.12097692103957587,-0.06811200969025948,-0.49105271428438024,-0.16635400986474966,-0.32548436729212704,-0.8566049293188905,-0.28349414223287744,0.05913124927101743,0.3974643408233778,-0.3686116134296483,-0.031363176092171215,-0.07338477554757564,0.6830165484817309,1.2695660908715478,-0.47049846338436335,-0.29728605367153954,0.04545051813090791,0.8022246655533589,-0.31411519813079997,-0.7270686671923534,-1.868986878549309,-0.12796254200670504,0.016502299900861637,-1.0401947836874166,-1.3106273210789485,0.6058757556235816,0.342811036392784,0.22515620720088164,-0.6174306782963871,-0.12722849456017038,-0.21537105342957272,0.7913864531794946,-2.2209669581989995,-0.3914315172928125,0.7918868523390391,0.6884983012314493,-0.3546133183748989,-0.23869542616545494,-0.1932731691945969,0.3016697954789753,-0.5709762588198198,-0.6943884386077875,-0.8362125053248157,-1.41676770786342,0.02124746889040244,0.2572243418065146,0.21729857725517687,-0.42764952686376984,-3.684311331563674,-2.246162793774412,0.3331342557855781,-0.8004186644555205,-3.0042678309283968,-0.41513640942413665,0.13763310771946222,0.6084761310515041,-0.103857805919484,-2.1286112612130874,-0.07892074526172035,-1.077789200510401,-0.8771856244861869,-0.3977515136577485,0.058541769048930596,0.08953576835722522,0.3814155623003374,0.611696736682083,-0.008569177156396834,0.4464634488874161,-0.0017861417839605575,-0.8194342842369642,-0.2070843160301626,-1.1112144522079235,-0.8110601291555715,-0.11854580749032606,-0.2936282794977566,-0.41292923280715993,-3.0377152284963866,-3.081852022158623,1.9032560892966717,0.5236330546480036,-0.4214528028188711,-1.8686587899253726,0.35152438784689466,-0.4875044993152496,-0.19461109890377953,-1.2532503547980285,-0.01553993911894579,0.16018228170052384,-1.478385673601954,-0.6325834503136087,-0.6389318063123658,-0.2599211280453547,-0.9643998861710501
golf,1.7164746345596267,1.256258821915649,1.3482262994941636,-1.9561211177816726,1.5998572236131339,0.3663799683980392,1.5171413096619148,0.8291083895336281,1.0196607238083846,0.06892489918684104,-0.5253934188568068,0.8984997556336838,-0.07841338975630617,1.6488001200994193,1.113033097208213,1.4559363473392504,1.2248118990015624,0.49957313071240733,-0.05920277272396696,0.2645398863381431,1.1753634735062564,0.9180638694678348,0.9190854322796382,0.4450832629578559,0.6063323646348824,-1.8124963068256796,1.3922608318274134,1.9092650584324433,0.41748974362787244,-0.0067497753202642044,1.3978918509644873,1.2670096975071212,0.8945858911948326,0.02133426175650386,0.5018916296360245,0.7120433454401484,0.8474385014780682,-1.25376399303439,1.2437632475222051,1.20453200974227,0.9105239394128094,1.1724474652197767,1.1567257771776644,1.0116481041999386,1.0392259733340998,1.1710219199088565,0.5762673598390103,1.077583739198006,0.4464186473599999,0.1486450487654316,0.4699140442113677,1.497822415692682,-0.15917994375413738,-3.0299016547022526,-1.6750934276864495,1.2004946902789586,0.5772647018203231,-2.8439374205835994,-0.08566330935564498,0.6606241250951445,1.7816252215453086,1.282804870286892,-1.5275528164322525,0.9019355460223711,-0.9677610588313098,0.2409878063501968,1.3029042611360413,1.3543474463847267,1.362106397461984,0.8525921923955362,0.48987017677709827,0.3639300150488379,0.9709074708661676,0.6138247132128717,0.5262052216137655,0.31428810112560474,0.9904404491190787,1.4031834146070736,0.409544717324695,-0.8646327261875686,0.949594013209162,-2.4996397963018957,-2.801542878911876,0.9995229423900289,-0.04339764679549192,1.7737866509259046,-0.4537257542762856,1.1643748021382534,-0.01039027422343968,0.6785044530354951,-1.2006506580292013,0.8968801343998409,1.539088801011821,-0.33862711052040895,0.23644904253040322,0.8438109690257443,-1.3298522226285512,-0.7555632882930944
